CustomerID,TotalValue,Quantity,Price_y,Cluster
C0106,2939.3,13,238.95,2
C0107,3623.92,12,304.898,0
C0108,4848.54,16,259.18285714285713,1
C0109,5487.25,32,198.5581818181818,1
C0110,942.32,4,235.58,3
C0111,1973.02,16,122.94000000000001,2
C0112,1959.51,8,203.78333333333333,2
C0113,4812.1,22,220.77125,1
C0114,5780.43,18,330.368,1
C0115,3137.18,8,388.06333333333333,0
C0116,2758.6800000000003,11,298.60833333333335,0
C0117,4028.2700000000004,12,298.58750000000003,0
C0118,3434.77,10,313.43833333333333,0
C0119,1191.61,6,207.68400000000003,3
C0120,2470.02,9,298.0833333333333,0
C0121,974.52,8,112.66999999999999,3
C0122,5072.55,17,293.2128571428571,1
C0123,1400.06,4,282.65999999999997,0
C0124,4264.33,19,263.3757142857143,1
C0125,2973.96,10,315.3775,0
C0126,4565.57,13,296.745,1
C0127,3232.88,11,321.0466666666667,0
C0128,773.19,3,306.93,0
C0129,2339.61,9,262.38,2
C0130,601.36,2,300.68,0
C0131,1943.82,7,313.10999999999996,0
C0132,1851.2599999999998,8,259.22666666666663,2
C0133,2884.33,11,305.725,0
C0134,2679.28,16,166.128,2
C0135,3135.58,10,300.43,0
C0136,4298.99,21,200.03333333333333,1
C0137,3332.55,11,288.63599999999997,2
C0138,5610.25,17,343.11800000000005,1
C0139,3703.64,13,302.485,0
C0140,1888.1399999999999,5,287.59499999999997,0
C0141,10673.869999999999,27,385.706,1
C0142,2239.04,11,192.9325,2
C0143,6044.63,21,271.60285714285715,1
C0144,1304.6799999999998,8,163.08499999999998,3
C0145,5771.27,20,289.39,1
C0146,2570.8,8,336.62,0
C0147,2948.44,14,231.78666666666666,2
C0148,5457.79,18,306.404,1
C0149,4404.78,15,279.096,1
C0150,580.34,2,290.17,0
C0151,223.96,4,55.99,3
C0152,3385.8599999999997,10,267.014,2
C0153,4744.79,17,271.59999999999997,1
C0154,3703.61,11,303.48333333333335,0
C0155,5377.83,17,346.7085714285714,1
C0156,7634.45,28,289.0581818181818,1
C0157,1876.1,10,196.23600000000002,2
C0158,3716.52,9,379.8975,0
C0159,2072.41,8,245.28,2
C0160,2926.93,14,235.51400000000004,2
C0161,3141.83,14,239.4025,2
C0162,4802.24,20,255.94875000000002,1
C0163,5775.28,19,293.94,1
C0164,3087.69,10,277.20799999999997,2
C0165,6708.1,30,205.2711111111111,1
C0166,2405.3500000000004,11,247.5975,2
C0167,2300.42,8,287.8433333333333,0
C0168,5053.83,12,402.6525,0
C0169,4533.32,20,194.13333333333333,1
C0170,4931.74,15,325.412,1
C0171,5145.35,15,321.918,1
C0172,2201.7,10,207.39166666666665,2
C0173,5808.04,20,288.06624999999997,1
C0174,2891.95,12,231.01799999999997,2
C0175,6210.53,26,260.89700000000005,1
C0176,2331.32,12,194.27666666666667,2
C0177,2509.81,9,260.3275,2
C0178,2708.83,9,231.09000000000003,2
C0179,3652.83,14,258.97499999999997,2
C0181,3347.6000000000004,15,265.26166666666666,2
C0182,4980.7699999999995,17,271.066,1
C0183,3850.2200000000003,12,298.142,0
C0184,3393.1800000000003,11,337.93857142857144,0
C0185,3424.3199999999997,9,380.48,0
C0186,1761.6399999999999,7,318.59,0
C0187,4612.44,11,391.994,0
C0188,7111.320000000001,21,323.1125,1
C0189,2643.21,11,217.66199999999998,2
C0190,2983.02,14,220.37399999999997,2
C0191,2997.9700000000003,11,283.184,2
C0192,2072.7200000000003,8,286.09,0
C0193,3009.2900000000004,11,263.54,2
C0194,3869.17,14,246.17428571428573,2
C0195,4036.27,17,233.49166666666667,2
C0196,4982.88,12,416.9925,0
C0197,1928.65,9,227.0566666666667,2
C0198,931.83,3,239.705,3
C0199,1979.28,9,250.61,2
C0200,4758.6,16,296.506,1
